فایل,h1,طول_h1,عنوان,طول_عنوان,طول_توضیح,canonical,canonical_خودارجاع,hreflang,og,twitter,json_ld,لینک_ورودی,متن_یکتا,پرچم‌ها
404.html,1,34,صفحه پیدا نشد (۴۰۴) | پیشرو تجهیز فرتاک,39,129,,خیر,0,7,4,,0,,بدون JSON-LD
about/certificates/index.html,1,24,گواهینامه‌های ISO و مدیریت کیفیت | پیشرو تجهیز فرتاک,52,135,https://pishtaj.ir/about/certificates/,بله,2,7,4,AboutPage|BreadcrumbList|ListItem|Organization|WebSite,5,,
about/company-profile/index.html,1,35,پروفایل رسمی شرکت پیشرو تجهیز فرتاک | شناسه، تماس و اعتبار صنعتی,64,144,https://pishtaj.ir/about/company-profile/,بله,2,7,4,BreadcrumbList|ListItem|Organization|PostalAddress|ProfilePage|PropertyValue,22,,
about/index.html,1,24,درباره ما و ساختار سازمانی | پیشرو تجهیز فرتاک,46,136,https://pishtaj.ir/about/,بله,2,7,4,AboutPage|BreadcrumbList|ImageObject|ListItem|Organization|WebSite,60,,
about/logo-philosophy/index.html,1,40,فلسفه طراحی لوگوی شرکت پیشرو تجهیز فرتاک | پیشرو تجهیز فرتاک,60,120,https://pishtaj.ir/about/logo-philosophy/,بله,2,7,4,AboutPage|BreadcrumbList|ListItem,4,,
about/management-message/index.html,1,66,پیام مدیریت | پیشرو تجهیز فرتاک,31,132,https://pishtaj.ir/about/management-message/,بله,2,7,4,AboutPage|BreadcrumbList|ListItem,4,,
about/organizational-chart/index.html,1,54,چارت سازمانی | پیشرو تجهیز فرتاک,32,75,https://pishtaj.ir/about/organizational-chart/,بله,2,7,4,AboutPage|BreadcrumbList|ListItem,3,,
about/why-ptf/index.html,1,51,چرا پیشرو تجهیز فرتاک؟ | سابقه، اعتبار و مسیر رشد شرکت,54,149,https://pishtaj.ir/about/why-ptf/,بله,2,4,4,AboutPage|BreadcrumbList|ListItem,1,,
assistant/index.html,1,42,دستیار هوشمند انتخاب متریال و شیرآلات صنعتی | AI Assistant,58,113,https://pishtaj.ir/assistant/,بله,2,8,4,BreadcrumbList|ListItem|OfferCatalog|PostalAddress|QuantitativeValue,542,,
blog/a106-vs-a333-pipes.html,1,52,مقایسه کامل لوله A106 در مقابل A333 | راهنمای تخصصی پایپینگ,59,128,https://pishtaj.ir/blog/a106-vs-a333-pipes.html,بله,2,8,4,BreadcrumbList|ListItem|OfferCatalog|PostalAddress|QuantitativeValue,6,,
blog/ball-valve-selection-guide.html,1,71,راهنمای انتخاب شیر توپی (Ball Valve) | پیشرو تجهیز فرتاک,56,117,https://pishtaj.ir/blog/ball-valve-selection-guide.html,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization|WebPage,1,,
blog/boiler-steam-equipment/index.html,1,32,راهنمای بویلر و تجهیزات بخار صنعتی | پیشرو تجهیز فرتاک,54,112,https://pishtaj.ir/blog/boiler-steam-equipment/,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization,1,,
blog/compressors-air-systems/index.html,1,45,نکات تامین کمپرسور صنعتی و تجهیزات هوای فشرده | پیشرو تجهیز فرتاک,65,77,https://pishtaj.ir/blog/compressors-air-systems/,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization,2,,
blog/electrical-equipment-epc/index.html,1,42,تامین تجهیزات برق صنعتی برای پروژه‌های EPC | پیشرو تجهیز فرتاک,62,72,https://pishtaj.ir/blog/electrical-equipment-epc/,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization,1,,
blog/electrical-switchgear-guide.html,1,72,راهنمای تجهیزات برق صنعتی و سوئیچگیر | پیشرو تجهیز فرتاک,56,109,https://pishtaj.ir/blog/electrical-switchgear-guide.html,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization|WebPage,4,,
blog/flange-types-guide.html,1,96,راهنمای جامع انواع فلنج صنعتی | پیشرو تجهیز فرتاک,49,111,https://pishtaj.ir/blog/flange-types-guide.html,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization|WebPage,5,,
blog/flanges-fittings-gaskets/index.html,1,39,نکات مهم خرید فلنج، فیتینگ و گسکت صنعتی | پیشرو تجهیز فرتاک,59,108,https://pishtaj.ir/blog/flanges-fittings-gaskets/,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization,3,,
blog/gas-detection.html,1,91,راهنمای جامع سیستم‌های تشخیص گاز صنعتی (Gas Detection),54,132,https://pishtaj.ir/blog/gas-detection.html,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization|WebPage,2,,
blog/index.html,1,36,وبلاگ و مرکز مقالات تخصصی تجهیزات صنعتی | پیشرو تجهیز فرتاک,59,145,https://pishtaj.ir/blog/,بله,2,7,4,Blog|BreadcrumbList|ImageObject|ListItem|Organization|WebSite,595,,
blog/industrial-valves-complete-guide.html,1,78,راهنمای کامل شیرآلات صنعتی (Industrial Valves),46,120,https://pishtaj.ir/blog/industrial-valves-complete-guide.html,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization|WebPage,6,,
blog/industrial-valves-selection/index.html,1,47,راهنمای انتخاب ولو صنعتی برای سرویس‌های فرایندی,47,84,https://pishtaj.ir/blog/industrial-valves-selection/,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization,2,,
blog/instrumentation-checklist/index.html,1,31,چک‌لیست خرید تجهیزات ابزار دقیق | پیشرو تجهیز فرتاک,51,75,https://pishtaj.ir/blog/instrumentation-checklist/,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization,2,,
blog/mtc-tpi-inspection-guide.html,1,66,راهنمای گواهی MTC و بازرسی TPI | پیشرو تجهیز فرتاک,50,114,https://pishtaj.ir/blog/mtc-tpi-inspection-guide.html,بله,2,7,4,Article|BreadcrumbList|ImageObject|ListItem|Organization|WebPage,4,,
