فایل,عنوان,طول_متن_یکتا,اولویت,وضعیت
transit-time-doppler.html,فلومتر اولتراسونیک | پیشرو تجهیز فرتاک,63,اولویت 1,
article-005.html,فلومتر کوریولیس | پیشرو تجهیز فرتاک,67,اولویت 1,
pilot-operated-valve.html,شیر پایلوت (Pilot Operated Valve) | پیشرو تجهیز فرتاک,71,اولویت 1,بازنویسی‌شده در batch ۲ (۲۰۲۶-۰۸-۳۱)؛ متنِ یکتای فعلی: 4375
3-way-valve-l-port-t-port.html,شیر سه راهه (3-Way Valve) | پیشرو تجهیز فرتاک,72,اولویت 1,بازنویسی‌شده در batch ۲ (۲۰۲۶-۰۸-۳۱)؛ متنِ یکتای فعلی: 3847
socket-weld-threaded.html,مقایسه فلنج Socket Weld و Threaded | پیشرو تجهیز فرتاک,73,اولویت 1,
article-013.html,تامین تجهیزات نیروگاه سیکل ترکیبی | پیشرو تجهیز فرتاک,74,اولویت 1,
article-006.html,ترانسمیتر سطح هیدرواستاتیک | پیشرو تجهیز فرتاک,75,اولویت 1,
article-021.html,انتخاب شیر برای سرویس بخار | پیشرو تجهیز فرتاک,75,اولویت 1,
cerabar.html,ترانسمیتر فشار اندرس هاسر Cerabar | پیشرو تجهیز فرتاک,76,اولویت 1,
angle-valve.html,راهنمای شیر زاویه‌ای (Angle Valve) | پیشرو تجهیز فرتاک,77,اولویت 1,
article-017.html,تامین تجهیزات صنعت سیمان | پیشرو تجهیز فرتاک,78,اولویت 1,
gearbox-handwheel-worm-gear.html,راهنمای Gearbox شیرآلات | پیشرو تجهیز فرتاک,78,اولویت 1,
sf6.html,کلید قدرت SF6 و تجهیزات فشار قوی | پیشرو تجهیز فرتاک,78,اولویت 1,
high-temperature.html,انتخاب شیر برای دمای بالا (High Temperature) | پیشرو تجهیز فرتاک,79,اولویت 1,
thermal-mass-flowmeter.html,فلومتر حرارتی (Thermal Mass Flowmeter) | پیشرو تجهیز فرتاک,79,اولویت 1,
astm-a105.html,ASTM A105 متریال فلنج و اتصالات فورج | پیشرو تجهیز فرتاک,81,اولویت 1,بازنویسی‌شده در batch ۲ (۲۰۲۶-۰۸-۳۱)؛ متنِ یکتای فعلی: 4277
seat-ptfe-peek-nylon.html,مواد نشیمنگاه (Seat) در شیرآلات | پیشرو تجهیز فرتاک,81,اولویت 1,
article-023.html,انتخاب شیر برای خطوط گاز | پیشرو تجهیز فرتاک,82,اولویت 1,
control-valve-iec-60534.html,شیر کنترل (Control Valve) | پیشرو تجهیز فرتاک,82,اولویت 1,
yokogawa-eja.html,ترانسمیتر فشار Yokogawa EJA | پیشرو تجهیز فرتاک,82,اولویت 1,
article-007.html,کالیبراسیون ترانسمیتر دما | پیشرو تجهیز فرتاک,83,اولویت 1,
astm-a209.html,راهنمای لوله ASTM A209 | پیشرو تجهیز فرتاک,83,اولویت 1,
ghz-80.html,ترانسمیتر سطح راداری GHz 80 | پیشرو تجهیز فرتاک,83,اولویت 1,
article-041.html,ترانسمیتر سطح التراسونیک | پیشرو تجهیز فرتاک,84,اولویت 1,
cryogenic-valve-lng.html,شیر برودتی (Cryogenic Valve) | پیشرو تجهیز فرتاک,84,اولویت 1,بازنویسی‌شده در batch ۲ (۲۰۲۶-۰۸-۳۱)؛ متنِ یکتای فعلی: 4143
stainless-steel.html,شیر Stainless Steel | پیشرو تجهیز فرتاک,85,اولویت 1,
article-011.html,تامین تجهیزات پتروشیمی | پیشرو تجهیز فرتاک,86,اولویت 1,
shell-seat-closure.html,تست شیرآلات | پیشرو تجهیز فرتاک,86,اولویت 1,
article-027.html,مقایسه شیر فولادی و چدنی | پیشرو تجهیز فرتاک,87,اولویت 1,
astm-a179.html,راهنمای لوله ASTM A179 | پیشرو تجهیز فرتاک,88,اولویت 1,بازنویسی‌شده در batch ۲ (۲۰۲۶-۰۸-۳۱)؛ متنِ یکتای فعلی: 3294
fire-test-api-607.html,راهنمای تست آتش (Fire Test) شیرآلات | پیشرو تجهیز فرتاک,89,اولویت 1,
article-012.html,تامین تجهیزات صنعت فولاد | پیشرو تجهیز فرتاک,90,اولویت 1,
article-014.html,تامین تجهیزات خطوط لوله انتقال | پیشرو تجهیز فرتاک,90,اولویت 1,
astm-a213.html,لوله ASTM A213 | پیشرو تجهیز فرتاک,90,اولویت 1,بازنویسی‌شده در batch ۲ (۲۰۲۶-۰۸-۳۱)؛ متنِ یکتای فعلی: 3760
astm-a312.html,راهنمای لوله ASTM A312 | پیشرو تجهیز فرتاک,92,اولویت 1,بازنویسی‌شده در batch ۲ (۲۰۲۶-۰۸-۳۱)؛ متنِ یکتای فعلی: 3782
pressure-gauge-asme-b40-100.html,گیج فشار (Pressure Gauge) | پیشرو تجهیز فرتاک,92,اولویت 1,
article-052.html,مقایسه برندهای ترانسمیتر صنعتی | پیشرو تجهیز فرتاک,93,اولویت 1,
