file,url,folder,title,words,inbound,outbound
brands/fisher-samson-control-valves.html,https://pishtaj.ir/brands/fisher-samson-control-valves.html,brands,تامین و سورسینگ کنترل ولو Fisher و SAMSON | پیشرو تجهیز فرتاک,1971,1,10
brands/omron-automation.html,https://pishtaj.ir/brands/omron-automation.html,brands,تامین و سورسینگ امرون Omron Automation | پیشرو تجهیز فرتاک,1928,1,10
services/products/fire-suppression-system.html,https://pishtaj.ir/services/products/fire-suppression-system.html,services,خرید و تامین سیستم اطفای حریق Clean Agent، CO2، Foam و Water Mist,1918,1,9
services/products/hazardous-area-cctv-access-control.html,https://pishtaj.ir/services/products/hazardous-area-cctv-access-control.html,services,خرید و تامین CCTV ضدانفجار و Access Control صنعتی,1912,1,9
services/products/ultrasonic-flowmeter.html,https://pishtaj.ir/services/products/ultrasonic-flowmeter.html,services,خرید و تامین فلومتر التراسونیک Clamp-on و Inline,1911,1,9
brands/eaton-crouse-hinds.html,https://pishtaj.ir/brands/eaton-crouse-hinds.html,brands,تامین تجهیزات Eaton Crouse-Hinds | پیشرو تجهیز فرتاک,1901,1,13
brands/schneider-electric.html,https://pishtaj.ir/brands/schneider-electric.html,brands,تامین و سورسینگ اشنایدر الکتریک Schneider Electric | پیشرو تجهیز فرتاک,1901,1,11
brands/yokogawa-industrial.html,https://pishtaj.ir/brands/yokogawa-industrial.html,brands,تامین و سورسینگ یوکوگاوا Yokogawa | پیشرو تجهیز فرتاک,1900,1,13
brands/grundfos-pumps.html,https://pishtaj.ir/brands/grundfos-pumps.html,brands,تامین و سورسینگ گراندفوس Grundfos | پیشرو تجهیز فرتاک,1899,1,12
brands/endress-hauser.html,https://pishtaj.ir/brands/endress-hauser.html,brands,تامین و سورسینگ اندرس هاوزر Endress+Hauser | پیشرو تجهیز فرتاک,1893,1,11
brands/wika-instrumentation.html,https://pishtaj.ir/brands/wika-instrumentation.html,brands,تامین و سورسینگ ویکا WIKA | پیشرو تجهیز فرتاک,1887,1,11
brands/abb-industrial.html,https://pishtaj.ir/brands/abb-industrial.html,brands,تامین و سورسینگ ABB صنعتی | پیشرو تجهیز فرتاک,1886,1,12
brands/phoenix-contact.html,https://pishtaj.ir/brands/phoenix-contact.html,brands,تامین و سورسینگ فونیکس کنتاکت Phoenix Contact | پیشرو تجهیز فرتاک,1884,1,11
brands/spirax-sarco-steam.html,https://pishtaj.ir/brands/spirax-sarco-steam.html,brands,تامین و سورسینگ اسپیرکس سارکو Spirax Sarco | پیشرو تجهیز فرتاک,1855,1,11
brands/tenaris-pipes.html,https://pishtaj.ir/brands/tenaris-pipes.html,brands,تامین و سورسینگ تناریس Tenaris | پیشرو تجهیز فرتاک,1850,1,9
brands/krohne-instrumentation.html,https://pishtaj.ir/brands/krohne-instrumentation.html,brands,تامین و سورسینگ کرونه KROHNE | پیشرو تجهیز فرتاک,1840,1,11
brands/atlas-copco-compressed-air.html,https://pishtaj.ir/brands/atlas-copco-compressed-air.html,brands,تامین و سورسینگ اطلس کوپکو Atlas Copco | پیشرو تجهیز فرتاک,1831,1,10
brands/siemens-industrial.html,https://pishtaj.ir/brands/siemens-industrial.html,brands,تامین و سورسینگ زیمنس صنعتی | پیشرو تجهیز فرتاک,1823,1,10
brands/kitz-valves.html,https://pishtaj.ir/brands/kitz-valves.html,brands,تامین و سورسینگ شیرآلات KITZ | پیشرو تجهیز فرتاک,1822,1,11
services/products/expansion-joints-flexible-hose.html,https://pishtaj.ir/services/products/expansion-joints-flexible-hose.html,services,خرید و تامین اکسپنشن جوینت فلزی و Flexible Metal Hose,1805,1,8
brands/flexitallic-gaskets.html,https://pishtaj.ir/brands/flexitallic-gaskets.html,brands,تامین و سورسینگ فلکسیتالیک Flexitallic | پیشرو تجهیز فرتاک,1794,1,8
brands/vallourec-pipes.html,https://pishtaj.ir/brands/vallourec-pipes.html,brands,تامین و سورسینگ والورک Vallourec | پیشرو تجهیز فرتاک,1792,1,11
knowledge-center/corrosion-resistant-equipment-guide.html,https://pishtaj.ir/knowledge-center/corrosion-resistant-equipment-guide.html,knowledge-center,راهنمای تجهیزات مقاوم به خوردگی صنعتی | پیشرو تجهیز فرتاک,1788,1,29
knowledge-center/knife-gate-valve.html,https://pishtaj.ir/knowledge-center/knife-gate-valve.html,knowledge-center,Knife Gate Valve | پیشرو تجهیز فرتاک,1769,1,32
knowledge-center/soft-starter.html,https://pishtaj.ir/knowledge-center/soft-starter.html,knowledge-center,سافت استارتر (Soft Starter) | پیشرو تجهیز فرتاک,1769,1,31
brands/galperti-flanges.html,https://pishtaj.ir/brands/galperti-flanges.html,brands,تامین و سورسینگ گالپرتی Galperti | پیشرو تجهیز فرتاک,1762,1,8
knowledge-center/phase-control-relay.html,https://pishtaj.ir/knowledge-center/phase-control-relay.html,knowledge-center,رله کنترل فاز (Phase Control Relay) | پیشرو تجهیز فرتاک,1760,1,31
knowledge-center/yokogawa-eja.html,https://pishtaj.ir/knowledge-center/yokogawa-eja.html,knowledge-center,ترانسمیتر فشار Yokogawa EJA | پیشرو تجهیز فرتاک,1758,1,31
knowledge-center/scada.html,https://pishtaj.ir/knowledge-center/scada.html,knowledge-center,سیستم SCADA در صنعت نفت و گاز | پیشرو تجهیز فرتاک,1751,1,30
