cluster,brand,official_url,status,priority,related_pages,notes
Instrumentation,Emerson / Rosemount,https://www.emerson.com/,covered,1,brands/emerson-rosemount.html; services/products/rosemount-3051.html,بدون ادعای نمایندگی رسمی
Instrumentation,Endress+Hauser,https://www.endress.com/,covered,1,brands/endress-hauser.html; services/products/flowmeter.html,بدون لوگوی برند تا زمان مجوز
Instrumentation,Yokogawa,https://www.yokogawa.com/,covered,1,brands/yokogawa-industrial.html; services/products/differential-pressure-transmitter.html,کنترل Model/Revision مهم است
Instrumentation,WIKA,https://www.wika.com/,covered,1,brands/wika-instrumentation.html; services/products/pressure-gauge.html,Pressure/Temperature/Seal
Instrumentation,KROHNE,https://www.krohne.com/,covered,1,brands/krohne-instrumentation.html; services/products/flowmeter.html,Flow/Level/DP Flow
Final Control,Fisher / Emerson Final Control,https://www.emerson.com/en/final-control,covered,1,brands/fisher-samson-control-valves.html; services/products/control-valve.html,Control Valve/Positioner
Final Control,SAMSON,https://www.samsongroup.com/,covered,1,brands/fisher-samson-control-valves.html; services/products/control-valve.html,صفحه مشترک با Fisher فعلاً کافی است
Valves,KITZ,https://www.kitz.com/,covered,1,brands/kitz-valves.html; services/products/ball-valve.html,Valve sourcing
Electrical/Automation,Siemens,https://www.siemens.com/,covered,1,brands/siemens-industrial.html; services/products/plc-control-panel.html,Automation/Drive/Switchgear
Electrical/Automation,Schneider Electric,https://www.se.com/,covered,1,brands/schneider-electric.html; services/products/vfd-soft-starter.html,Modicon/Altivar/TeSys
Electrical/Automation,ABB,https://global.abb/,covered,1,brands/abb-industrial.html; services/products/lv-mv-switchgear.html,Electrification/Motion/Automation
Electrical/Connectivity,Phoenix Contact,https://www.phoenixcontact.com/,covered,2,brands/phoenix-contact.html; services/products/cable-accessories.html,Terminal/Power/SPD
Electrical/Automation,Omron,https://automation.omron.com/,covered,2,brands/omron-automation.html; services/products/plc-control-panel.html,Sensors/PLC/Temp Controller
Electrical/Hazardous,Eaton / Crouse-Hinds,https://www.eaton.com/,covered,2,brands/eaton-crouse-hinds.html; services/products/explosion-proof-lighting.html,Hazardous Area / Power
Steam,Spirax Sarco,https://www.spiraxsarco.com/,covered,2,brands/spirax-sarco-steam.html; services/products/steam-trap.html,Steam Trap/PRV
Pumps,Grundfos,https://www.grundfos.com/,covered,2,brands/grundfos-pumps.html; services/products/vertical-multistage-pump.html,CR/CRE/Booster
Compressed Air,Atlas Copco,https://www.atlascopco.com/,covered,2,brands/atlas-copco-compressed-air.html; services/products/screw-compressor.html,Compressed Air/Instrument Air
Piping/Gaskets,Flexitallic,https://flexitallic.com/,covered,1,brands/flexitallic-gaskets.html; services/products/industrial-gaskets.html,Gaskets
Piping/Flanges,Galperti,http://galpertisrl.com/,covered,1,brands/galperti-flanges.html; services/products/welding-flanges.html,Flanges/Forgings
Piping/Pipes,Tenaris,https://www.tenaris.com/,covered,1,brands/tenaris-pipes.html; services/products/api-5l-pipe.html,Pipes/OCTG
Piping/Pipes,Vallourec,https://www.vallourec.com/,covered,1,brands/vallourec-pipes.html; services/products/alloy-steel-pipe-a335.html,Seamless/Line Pipe
Instrumentation,VEGA,https://www.vega.com/,planned,2,services/products/radar-level-transmitter.html,Radar/Level page recommended
Instrumentation,Honeywell Analytics,https://www.honeywellanalytics.com/,planned,2,services/products/fixed-gas-detector.html,Gas Detection / F&G
