صفحه_نازک,طول_یکتا,هدف_پیشنهادی,طول_یکتای_هدف,امتیاز_تطابق,تصمیم
api-5l-pipe-guide,796,kc-a106-api-5l-standard-selection-by-project,7046,0.67,
gasket-types-guide,785,kc-gasket-selection-by-fluid-temperature,7650,1.0,
api-600-gate-valve-standard,767,kc-gate-valve-api-600-flexible-wedge-design,7578,1.0,
level-measurement-guide,767,kc-level-measurement-6-methods,3141,1.0,
check-valve-complete-guide,761,control-valve-actuator-selection-guide,7552,0.5,
asme-b36-10-pipe-dimensions,754,kc-flowmeters-10-methods,3128,0.33,
api-6d-ball-valve-standard,742,kc-ball-valve-api-6d-fire-safe-design,7542,1.0,
flange-bolting-guide,730,flange-arak-guide,3265,0.5,
mccb-circuit-breaker-guide,727,,0,0,
globe-valve-complete-guide,725,kc-globe-valve-flow-direction-guide,7476,1.0,
flange-types-complete-guide,673,flange-arak-guide,3265,1.0,
temperature-transmitter-guide,636,kc-a333-low-temperature-impact-testing,7245,0.5,
a106-pipe-procurement-guide,635,kc-a106-api-5l-standard-selection-by-project,7046,0.5,
api-602-small-gate-valve,619,kc-gate-valve-api-600-flexible-wedge-design,7578,0.6,
pressure-transmitter-calibration-guide,613,kc-pressure-transmitter-range-selection,8144,0.67,
rosemount-vs-yokogawa-comparison,609,rosemount-pressure-transmitter-family,5359,0.5,
hart-protocol-complete-guide,606,,0,0,
safety-relief-valve-guide,582,industrial-valve-standards-guide,2291,0.5,
power-distribution-transformer-guide,564,kc-heat-tracing-power-calculation-guide,6834,0.33,
en-10204-certificate-guide,556,kc-a106-mill-test-certificate-verification,6876,0.33,
radar-level-transmitter-guide,553,kc-radar-level-transmitter-tank-installation,7684,1.0,
vfd-variable-frequency-drive-guide,550,kc-vfd,3088,1.0,
steam-system-equipment-guide,540,kc-steam-boiler-system,3242,1.0,
sour-service-equipment-guide,531,kc-api-5l-psl2-sour-service-nace-requirements,7186,1.0,
ndt-inspection-industrial-guide,530,kc-ndt,2971,1.0,
nde-inspection-pipe-flange,493,flange-arak-guide,3265,0.5,
mcc-panel-guide,475,,0,0,
a106-gr-b,437,kc-astm-a106-gr,3206,0.67,
plc-types-industrial-guide,411,kc-plc-programming-languages-guide,7816,1.0,
electrical-brands-comparison,409,,0,0,
diaphragm-seal-guide,395,kc-reciprocating-pump-packing-seal-guide,7548,0.5,
pressure-gauge-complete-guide,391,kc-pressure-gauge-glycerin-fill-guide,7197,1.0,
stainless-steel-pipe-guide,391,kc-stainless-steel-pipe-passivation-procedure,7682,1.0,
asme-b31-3-process-piping-guide,389,kc-fcc-catalyst-regeneration-process,7542,0.25,
atex-iecex-hazardous-area-guide,389,kc-cctv-camera-selection-hazardous-area,7211,0.5,
incoterms-industrial-trade-guide,389,kc-incoterms-2024,3118,0.5,
valve-testing-guide,389,control-valve-actuator-selection-guide,7552,0.5,
a53-pipe-specifications,387,kc-a53-vs-a106-selection-criteria,7271,0.5,
magmeter,386,,0,0,
vcb,386,,0,0,
nioc-npc-vendor-list-guide,385,kc-commissioning-punch-list-management,7451,0.25,
valve-actuator-types-guide,385,control-valve-actuator-selection-guide,7552,1.0,
valve-seat-material-guide,383,kc-ball-valve-seat-material-selection,7466,1.0,
control-valve-complete-guide,381,control-valve-actuator-selection-guide,7552,1.0,
epc-supply-chain-management-guide,381,kc-project-management-equipment-supply,2959,0.67,
scada-rtu-system-guide,381,kc-lubrication-system,3035,0.5,
soft-starter-guide,381,,0,0,
high-pressure-equipment-guide,379,kc-hydrotest-pressure-holding-time-calculation,7290,0.5,
hydrostatic-test-pipe-guide,379,kc-a106-mill-test-certificate-verification,6876,0.33,
instrument-calibration-standards,379,industrial-valve-standards-guide,2291,0.5,
hart-calibration-training,377,kc-gas-analyzer-calibration-zero-span,7768,0.33,
industrial-grounding-guide,377,,0,0,
quality-assurance-supply-guide,377,kc-international-supply-contracts,3043,0.33,
valve-sealing-guide,377,control-valve-actuator-selection-guide,7552,0.5,
gas-analyzer-industry-guide,375,kc-gas-analyzer-calibration-zero-span,7768,0.67,
international-supply-contract-guide,375,kc-international-supply-contracts,3043,0.67,
protective-relay-guide,375,kc-protective-relay-coordination-curve,7380,1.0,
rtd-vs-thermocouple-comparison,375,kc-rtd-thermocouple-thermistor,2868,1.0,
thermowell-guide,375,,0,0,
hydrostatic-level-transmitter,373,kc-radar-level-transmitter-tank-installation,7684,0.67,
ups-industrial-guide,373,kc-ups-battery-sizing-autonomy-calculation,7504,1.0,
valve-body-material-selection,373,kc-ball-valve-seat-material-selection,7466,0.67,
astm-a105-vs-a234,371,kc-astm-a106-gr,3206,0.33,
contactor-bimetal-guide,371,,0,0,
industrial-cable-selection-guide,371,kc-cable-tray-cable-duct,2917,1.0,
pmi-testing-guide,371,kc-a333-low-temperature-impact-testing,7245,0.5,
shutdown-turnaround-industrial-guide,371,kc-surge-arrester-emergency-shutdown-valves,3173,0.5,
corrosion-resistant-equipment-guide,367,kc-304-vs-316-corrosion-resistance,7340,0.5,
ip-rating-industrial-equipment-guide,367,,0,0,
sil-certification-instrument-guide,367,kc-esd-fire-gas-sil-rated-design,7295,0.33,
third-party-inspection-guide,367,kc-cf8-cf8m-casting-defects-inspection,7329,0.33,
astm-piping-standards-guide,365,industrial-valve-standards-guide,2291,0.5,
petrochemical-industry-supply-guide,365,kc-cement-industry-equipment,3090,0.5,
pinch-valve-guide,365,control-valve-actuator-selection-guide,7552,0.5,
power-plant-industry-supply-guide,365,kc-cement-industry-equipment,3090,0.5,
valve-brands-comparison-guide,365,control-valve-actuator-selection-guide,7552,0.5,
plug-valve-guide,363,control-valve-actuator-selection-guide,7552,0.5,
cement-industry-supply-guide,359,kc-cement-industry-equipment,3090,1.0,
industrial-customs-clearance-guide,359,kc-customs-clearance-hs-code-tariff-guide,7385,1.0,
steel-industry-supply-guide,359,kc-steel-industry-equipment,3071,1.0,
lv-iec-61439,334,kc-control-valve-noise-prediction-iec-60534,7184,0.33,
a106-api-5l,320,kc-a106-api-5l-standard-selection-by-project,7046,1.0,
ball-valve-api-6d,316,kc-ball-valve-api-6d-fire-safe-design,7542,1.0,
globe-gate-valve,316,kc-gate-valve-api-600-flexible-wedge-design,7578,0.67,
mv-iec-62271,316,kc-mv-switchgear,3480,0.5,
api-5l-psl2-psl1,314,kc-api-5l-psl1-psl2,3373,1.0,
asme-b16-5,314,,0,0,
dual-plate-check-valve,311,industrial-valve-standards-guide,2291,0.5,
rosemount-3051,311,rosemount-pressure-transmitter-family,5359,0.5,
check-valve-swing-lift-dual-plate,310,industrial-valve-standards-guide,2291,0.5,
nozzle-check-valve,306,industrial-valve-standards-guide,2291,0.5,
globe-angle-valve,304,kc-globe-valve-flow-direction-guide,7476,0.67,
tilting-disc-check-valve,300,industrial-valve-standards-guide,2291,0.5,
api-5l-x65,298,kc-a106-api-5l-standard-selection-by-project,7046,0.67,
api-610,298,kc-api-610-pump-curve-reading-guide,7518,1.0,
butterfly-valve-api-609-concentric-offset,297,kc-butterfly-valve-offset,3089,1.0,
psv-prv-api-520-api-526,288,kc-psv,3113,1.0,
asme-b16-9,287,,0,0,
vfd,272,kc-vfd-harmonic-distortion-mitigation,7483,1.0,
dpt,268,,0,0,
distribution-transformer,262,,0,0,
vortex-flowmeter,255,kc-flowmeter-selection-by-fluid-application,7425,0.5,
o2-co2-h2s,242,kc-gc-ph-o2-h2s,3092,0.67,
nace-mr0175,230,nace-mr0175-sour-service-guide,4828,1.0,
api-5l-x52,222,kc-a106-api-5l-standard-selection-by-project,7046,0.67,
a106-gr-b-a333-gr-6,158,kc-astm-a106-gr,3206,0.67,
erw,144,kc-erw-hfw-weld-seam-inspection,7698,1.0,
a333-gr-6,120,kc-a333-low-temperature-impact-testing,7245,0.33,
api-5l-x52-x60-x65,110,kc-api-5l-x60-pipeline-design-factor,7071,0.6,
article-003,107,,0,0,
astm-a106-a53,107,kc-a53-vs-a106-selection-criteria,7271,0.67,
article-031,105,,0,0,
ss304-ss316,105,,0,0,
class-i-class-vi,104,kc-class-900-class-2500,4022,0.33,
plug-valve-lubricated-non-lubricated,104,industrial-valve-standards-guide,2291,0.5,
asme-b36-19,103,,0,0,
dcs-distributed-control-system,103,kc-dcs,2984,1.0,
api-600,101,kc-gate-valve-api-600-flexible-wedge-design,7578,1.0,
article-002,100,,0,0,
schedule-sch-40-80-160,99,kc-nps-dn-schedule-od-wt,3184,0.2,
a53-gr-b,97,kc-a53-vs-a106-selection-criteria,7271,0.33,
scada,97,,0,0,
article-004,95,,0,0,
vendor-qualification,95,kc-pipeline-welding-npi-qualification,7342,0.5,
api-5l-x70,94,kc-a106-api-5l-standard-selection-by-project,7046,0.67,
article-001,94,,0,0,
sil-iec-61508-iec-61511,94,kc-control-valve-noise-prediction-iec-60534,7184,0.25,
article-052,93,,0,0,
astm-a312,92,kc-astm-a106-gr,3206,0.5,
pressure-gauge-asme-b40-100,92,kc-pressure-gauge,2993,1.0,
article-012,90,,0,0,
article-014,90,,0,0,
astm-a213,90,kc-astm-a106-gr,3206,0.5,
hplc-gc,90,kc-gc-ph-o2-h2s,3092,0.5,
surge-arrester,90,kc-surge-arrester-emergency-shutdown-valves,3173,1.0,
fire-test-api-607,89,kc-api-5l-psl-charpy-impact-test,7187,0.5,
profibus-profinet,89,,0,0,
ansi-ieee-c37,88,kc-ansi-50-51-87-21,3092,0.33,
article-059,88,,0,0,
astm-a179,88,kc-a179-tube-expansion-rolling-procedure,7665,0.5,
astm-a335-p91,88,kc-a335,3083,1.0,
phase-control-relay,88,control-valve-actuator-selection-guide,7552,0.33,
article-027,87,,0,0,
astm-a335-p11-p22-p91,87,kc-a335,3083,1.0,
en-10204,87,,0,0,
guided-wave-non-contact,87,,0,0,
article-011,86,,0,0,
asme-b31-3,86,,0,0,
astm-jis,86,kc-astm-a106-gr,3206,0.5,
shell-seat-closure,86,kc-shell-tube,2890,0.5,
stainless-steel,85,kc-stainless-steel-pipe-passivation-procedure,7682,1.0,
article-041,84,,0,0,
cryogenic-valve-lng,84,industrial-valve-standards-guide,2291,0.5,
din-ansi,84,kc-ansi-50-51-87-21,3092,0.5,
electric-actuator,84,kc-actuator,2981,1.0,
article-007,83,,0,0,
astm-a209,83,kc-astm-a106-gr,3206,0.5,
