فایل,عنوان,نسبت_تیتر_قالبی,تعداد_تیتر_قالبی,تعداد_کل_تیتر,اولویت
api-602-small-gate-valve.html,استاندارد API 602,1.0,9,9,اولویت ۱ (ارزش تجاری)
control-valve-complete-guide.html,راهنمای کامل شیر کنترل (Control Valve) صنعتی؛ مشخصات و قیمت,1.0,9,9,اولویت ۱ (ارزش تجاری)
flange-bolting-guide.html,راهنمای پیچ و مهره در اتصالات فلنجی صنعتی,1.0,9,9,اولویت ۱ (ارزش تجاری)
flange-types-complete-guide.html,انواع فلنج صنعتی: WN، SO، Blind و SW,1.0,8,8,اولویت ۱ (ارزش تجاری)
gas-analyzer-industry-guide.html,راهنمای آنالایزر گاز صنعتی,1.0,9,9,اولویت ۱ (ارزش تجاری)
hydrostatic-level-transmitter.html,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی,1.0,9,9,اولویت ۱ (ارزش تجاری)
hydrostatic-test-pipe-guide.html,راهنمای تست هیدرواستاتیک لوله,1.0,9,9,اولویت ۱ (ارزش تجاری)
industrial-cable-selection-guide.html,راهنمای انتخاب کابل صنعتی (Power Cable),1.0,9,9,اولویت ۱ (ارزش تجاری)
pressure-gauge-complete-guide.html,راهنمای کامل گیج فشار صنعتی؛ مشخصات و قیمت,1.0,9,9,اولویت ۱ (ارزش تجاری)
pressure-transmitter-calibration-guide.html,راهنمای کالیبراسیون ترانسمیتر فشار صنعتی,1.0,9,9,اولویت ۱ (ارزش تجاری)
radar-level-transmitter-guide.html,راهنمای ترانسمیتر سطح راداری صنعتی,1.0,9,9,اولویت ۱ (ارزش تجاری)
rosemount-vs-yokogawa-comparison.html,مقایسه ترانسمیتر Rosemount و Yokogawa صنعتی,1.0,9,9,اولویت ۱ (ارزش تجاری)
safety-relief-valve-guide.html,راهنمای شیر اطمینان و ایمنی (PSV/PRV) صنعتی,1.0,9,9,اولویت ۱ (ارزش تجاری)
stainless-steel-pipe-guide.html,راهنمای لوله استینلس استیل (Stainless Steel Pipe),1.0,9,9,اولویت ۱ (ارزش تجاری)
valve-actuator-types-guide.html,راهنمای انواع محرک (Actuator) در شیرآلات صنعتی,1.0,9,9,اولویت ۱ (ارزش تجاری)
valve-seat-material-guide.html,راهنمای مواد نشیمنگاه (Seat) در شیرآلات صنعتی,1.0,9,9,اولویت ۱ (ارزش تجاری)
cement-industry-supply-guide.html,راهنمای تامین تجهیزات صنایع سیمان,0.9,9,10,اولویت ۱ (ارزش تجاری)
epc-supply-chain-management-guide.html,راهنمای مدیریت زنجیره تامین در پروژه‌های EPC,0.9,9,10,اولویت ۱ (ارزش تجاری)
international-supply-contract-guide.html,راهنمای قراردادهای تامین بین‌المللی صنعتی,0.9,9,10,اولویت ۱ (ارزش تجاری)
nde-inspection-pipe-flange.html,راهنمای بازرسی NDE لوله و فلنج صنعتی,0.9,9,10,اولویت ۱ (ارزش تجاری)
petrochemical-industry-supply-guide.html,راهنمای تامین تجهیزات صنایع پتروشیمی,0.9,9,10,اولویت ۱ (ارزش تجاری)
pinch-valve-guide.html,راهنمای شیر پینچ (Pinch Valve) صنعتی,0.9,9,10,اولویت ۱ (ارزش تجاری)
plug-valve-guide.html,راهنمای شیر پلاگ (Plug Valve) صنعتی,0.9,9,10,اولویت ۱ (ارزش تجاری)
power-plant-industry-supply-guide.html,راهنمای تامین تجهیزات نیروگاهی صنعتی,0.9,9,10,اولویت ۱ (ارزش تجاری)
quality-assurance-supply-guide.html,راهنمای تضمین کیفیت در تامین تجهیزات صنعتی,0.9,9,10,اولویت ۱ (ارزش تجاری)
steel-industry-supply-guide.html,راهنمای تامین تجهیزات صنایع فولاد,0.9,9,10,اولویت ۱ (ارزش تجاری)
