file,url,folder,title,title_len,desc,desc_len,canonical,robots,h1,h1_count,h2_count,words,images,img_no_alt,internal_links,schema,hreflang,lang,sitemap,size_kb,issues
about/certificates/index.html,https://pishtaj.ir/about/certificates/index.html,about,گواهینامه‌های ISO و مدیریت کیفیت | پیشرو تجهیز فرتاک,52,گواهینامه‌های معتبر ISO 9001:2015، ISO 10002:2018، ISO 10004:2018 و ISO/TS 29001 (صادره GQS آلمان)، HSE-MS و PMP شرکت پیشرو تجهیز فرتاک,135,https://pishtaj.ir/about/certificates/,"index, follow",گواهینامه‌های بین‌المللی,1,1,307,8,0,26,BreadcrumbList|AboutPage,fa-IR|x-default,fa,sitemap-core.xml,18.0,thin-content
about/company-profile/index.html,https://pishtaj.ir/about/company-profile/index.html,about,پروفایل رسمی شرکت پیشرو تجهیز فرتاک | شناسه، تماس و اعتبار صنعتی,64,پروفایل رسمی شرکت پیشرو تجهیز فرتاک؛ شناسه ملی، اطلاعات تماس، حوزه‌های تامین تجهیزات صنعتی و مسیرهای اعتبارسنجی برای کارفرمایان و تامین‌کنندگان.,144,https://pishtaj.ir/about/company-profile/,"index, follow, max-image-preview:large, max-snippet:-1",پروفایل رسمی شرکت پیشرو تجهیز فرتاک,1,5,471,1,0,18,BreadcrumbList|Organization|ProfilePage,fa-IR|x-default,fa,sitemap-core.xml,14.5,
about/index.html,https://pishtaj.ir/about/index.html,about,درباره ما و ساختار سازمانی | پیشرو تجهیز فرتاک,46,معرفی شرکت پیشرو تجهیز فرتاک؛ تامین‌کننده تخصصی تجهیزات پایپینگ، شیرآلات، برق صنعتی و ابزار دقیق برای پروژه‌های ملی نفت، گاز و پتروشیمی.,136,https://pishtaj.ir/about/,,درباره پیشرو تجهیز فرتاک,1,4,602,7,0,29,BreadcrumbList|AboutPage|Organization,fa-IR|x-default,fa,sitemap-core.xml,28.7,
about/logo-philosophy/index.html,https://pishtaj.ir/about/logo-philosophy/index.html,about,فلسفه طراحی لوگوی شرکت پیشرو تجهیز فرتاک | پیشرو تجهیز فرتاک,60,معرفی مفهوم شعله، چرخ‌دنده و نوشتار PTF به‌عنوان نماد انرژی، مهندسی، دقت فنی و حرکت رو به جلو در برند پیشرو تجهیز فرتاک.,120,https://pishtaj.ir/about/logo-philosophy/,"index, follow, max-image-preview:large",فلسفه طراحی لوگوی شرکت پیشرو تجهیز فرتاک,1,1,483,3,0,26,AboutPage|BreadcrumbList,fa-IR|x-default,fa,sitemap-core.xml,19.0,
about/management-message/index.html,https://pishtaj.ir/about/management-message/index.html,about,پیام مدیریت | پیشرو تجهیز فرتاک,31,پیام هیأت مدیره پیشرو تجهیز فرتاک درباره چشم‌انداز، اصول راهبردی، و تعهد ما به کارفرمایان صنایع نفت، گاز، پتروشیمی، فولاد و نیروگاهی,132,https://pishtaj.ir/about/management-message/,"index, follow, max-image-preview:large, max-snippet:-1",پیام هیأت مدیره — زنجیره تامین پروژه‌ای، سرمایه راهبردی صنایع مادر,1,1,610,3,0,36,AboutPage|BreadcrumbList,fa-IR|x-default,fa,sitemap-core.xml,23.2,
about/organizational-chart/index.html,https://pishtaj.ir/about/organizational-chart/index.html,about,چارت سازمانی | پیشرو تجهیز فرتاک,32,ساختار چابک تامین پروژه‌ای پیشرو تجهیز فرتاک — تخصص‌محور، سریع و قابل دسترس,75,https://pishtaj.ir/about/organizational-chart/,"index, follow, max-image-preview:large, max-snippet:-1",چارت سازمانی پیشرو تجهیز فرتاک — ساختار چابک تخصص‌محور,1,1,687,2,0,36,AboutPage|BreadcrumbList,fa-IR|x-default,fa,sitemap-core.xml,23.5,
about/why-ptf/index.html,https://pishtaj.ir/about/why-ptf/index.html,about,چرا پیشرو تجهیز فرتاک؟ | سابقه، اعتبار و مسیر رشد شرکت,54,تایم‌لاین تاریخچه و نقاط عطف شرکت پیشرو تجهیز فرتاک؛ از آغاز فعالیت تیم بازرگانی تا اخذ گواهینامه‌های بین‌المللی ISO و توسعه سبد تامین ۴۳ برند جهانی.,149,https://pishtaj.ir/about/why-ptf/,"index, follow, max-image-preview:large",چرا پیمانکاران به پیشرو تجهیز فرتاک اعتماد می‌کنند؟,1,1,391,2,0,29,AboutPage|BreadcrumbList,fa-IR|x-default,fa,sitemap-core.xml,17.4,
assistant/index.html,https://pishtaj.ir/assistant/index.html,assistant,دستیار هوشمند انتخاب متریال و شیرآلات صنعتی | AI Assistant,58,مشاوره آنلاین هوشمند انتخاب متریال و شیرآلات صنعتی بر اساس سیال، فشار و دما — دستیار تخصصی مهندسی مواد و پایپینگ.,113,https://pishtaj.ir/assistant/,"index, follow",مشاور هوشمند انتخاب متریال و تجهیزات صنعتی,1,0,175,2,0,25,Organization|LocalBusiness|BreadcrumbList,fa-IR|x-default,fa,sitemap-misc.xml,24.5,thin-content
blog/a106-vs-a333-pipes.html,https://pishtaj.ir/blog/a106-vs-a333-pipes.html,blog,مقایسه کامل لوله A106 در مقابل A333 | راهنمای تخصصی پایپینگ,59,مقایسه فنی و جامع لوله‌های A106 (کربن استیل) و A333 (دمای پایین) — تفاوت در ترکیب شیمیایی، خواص مکانیکی، استانداردها و کاربردها.,128,https://pishtaj.ir/blog/a106-vs-a333-pipes.html,"index, follow",تفاوت لوله مانیسمان ASTM A106 Gr.B با ASTM A333 Gr.6,1,4,1171,2,0,30,Organization|LocalBusiness|BreadcrumbList,fa-IR|x-default,fa,sitemap-blog.xml,29.5,
blog/ball-valve-selection-guide.html,https://pishtaj.ir/blog/ball-valve-selection-guide.html,blog,راهنمای انتخاب شیر توپی (Ball Valve) | پیشرو تجهیز فرتاک,56,راهنمای تخصصی انتخاب Ball Valve صنعتی: تفاوت فلوتینگ، ترانیون و فول‌بور، استاندارد API 6D و ISO 17292، انتخاب متریال.,117,https://pishtaj.ir/blog/ball-valve-selection-guide.html,"index, follow",راهنمای انتخاب شیر توپی (Ball Valve) — انواع فلوتینگ، ترانیون و فول‌بور,1,3,1302,2,0,32,BreadcrumbList|Article,fa-IR|x-default,fa,sitemap-blog.xml,28.2,
