فایل,نسبت_تیتر_قالبی,تعداد_تیتر_قالبی,تعداد_کل_تیتر
knowledge-center/valve-testing-guide.html,1.0,10,10
knowledge-center/valve-sealing-guide.html,1.0,10,10
knowledge-center/valve-brands-comparison-guide.html,1.0,10,10
knowledge-center/valve-body-material-selection.html,1.0,10,10
knowledge-center/steel-industry-supply-guide.html,1.0,10,10
knowledge-center/sour-service-equipment-guide.html,1.0,10,10
knowledge-center/quality-assurance-supply-guide.html,1.0,10,10
knowledge-center/power-plant-industry-supply-guide.html,1.0,10,10
knowledge-center/plug-valve-guide.html,1.0,10,10
knowledge-center/pinch-valve-guide.html,1.0,10,10
knowledge-center/petrochemical-industry-supply-guide.html,1.0,10,10
knowledge-center/nde-inspection-pipe-flange.html,1.0,10,10
knowledge-center/international-supply-contract-guide.html,1.0,10,10
knowledge-center/industrial-customs-clearance-guide.html,1.0,10,10
knowledge-center/incoterms-industrial-trade-guide.html,1.0,10,10
knowledge-center/high-pressure-equipment-guide.html,1.0,10,10
knowledge-center/epc-supply-chain-management-guide.html,1.0,10,10
knowledge-center/electrical-brands-comparison.html,1.0,10,10
knowledge-center/corrosion-resistant-equipment-guide.html,1.0,10,10
knowledge-center/contactor-bimetal-guide.html,1.0,10,10
knowledge-center/cement-industry-supply-guide.html,1.0,10,10
knowledge-center/astm-a105-vs-a234.html,1.0,10,10
knowledge-center/vfd-variable-frequency-drive-guide.html,1.0,9,9
knowledge-center/valve-seat-material-guide.html,1.0,9,9
knowledge-center/valve-actuator-types-guide.html,1.0,9,9
knowledge-center/ups-industrial-guide.html,1.0,9,9
knowledge-center/third-party-inspection-guide.html,1.0,9,9
knowledge-center/thermowell-guide.html,1.0,9,9
knowledge-center/steam-system-equipment-guide.html,1.0,9,9
knowledge-center/stainless-steel-pipe-guide.html,1.0,9,9
knowledge-center/soft-starter-guide.html,1.0,9,9
knowledge-center/sil-certification-instrument-guide.html,1.0,9,9
knowledge-center/shutdown-turnaround-industrial-guide.html,1.0,9,9
knowledge-center/scada-rtu-system-guide.html,1.0,9,9
