شباهت_محتوای_یکتا,فایل الف,فایل ب,عنوان الف,عنوان ب,یکتای الف,یکتای ب,لینک_ورودی_الف,لینک_ورودی_ب
0.924,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,574,573,6,2
0.919,knowledge-center/hydrostatic-level-transmitter.html,knowledge-center/instrument-calibration-standards.html,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,596,596,4,3
0.915,knowledge-center/hart-calibration-training.html,knowledge-center/hydrostatic-level-transmitter.html,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,599,596,6,4
0.915,knowledge-center/gas-analyzer-industry-guide.html,knowledge-center/instrument-calibration-standards.html,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,599,596,6,3
0.915,knowledge-center/gas-analyzer-industry-guide.html,knowledge-center/hydrostatic-level-transmitter.html,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,599,596,6,4
0.909,knowledge-center/hart-calibration-training.html,knowledge-center/instrument-calibration-standards.html,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,599,596,6,3
0.905,knowledge-center/gas-analyzer-industry-guide.html,knowledge-center/hart-calibration-training.html,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,599,599,6,6
0.903,knowledge-center/industrial-grounding-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,584,573,5,2
0.895,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/industrial-grounding-guide.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,574,584,6,5
0.891,knowledge-center/industrial-cable-selection-guide.html,knowledge-center/industrial-grounding-guide.html,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,594,584,7,5
