ردیف,فایل,عنوان_فعلی,موضوع,وضعیت,تصمیم,بچ
1,api-5l-pipe-guide.html,مشخصات فنی لوله API 5L,لوله و پایپینگ,محتوای قالبی,بازنویسی شد (بچ ۱),1
2,astm-a105.html,فورج کربن استیل ASTM A105؛ مشخصات، A105N و نکات خرید,لوله و پایپینگ,محتوای قالبی,بازنویسی شد (بچ ۱),1
3,astm-a312.html,لوله استنلس استیل ASTM A312؛ TP304 و TP316 و نکات خرید,لوله و پایپینگ,محتوای قالبی,بازنویسی شد (بچ ۱),1
4,schedule-sch-40-80-160.html,راهنمای ضخامت دیواره لوله (Schedule),لوله و پایپینگ,محتوای قالبی,بازنویسی شد (بچ ۱),1
5,seamless-pipe-complete-guide.html,راهنمای جامع لوله مانیسمان (بدون درز),لوله و پایپینگ,محتوای قالبی,بازنویسی شد (بچ ۱),1
6,asme-b16-5.html,ASME B16.5,اتصالات و فلنج,محتوای قالبی,بازنویسی شد (بچ ۱),1
7,asme-b16-9.html,ASME B16.9,اتصالات و فلنج,محتوای قالبی,بازنویسی شد (بچ ۱),1
8,ball-vs-gate-valve-comparison.html,مقایسه Ball Valve و Gate Valve,شیرآلات صنعتی,محتوای قالبی,بازنویسی شد (بچ ۱),1
9,gate-valve-complete-guide.html,راهنمای جامع Gate Valve (شیر دروازه‌ای),شیرآلات صنعتی,محتوای قالبی,بازنویسی شد (بچ ۱),1
10,en-10204-certificate-guide.html,راهنمای کامل EN 10204؛ مشخصات و قیمت,تامین و بازرگانی,محتوای قالبی,بازنویسی شد (بچ ۱),1
11,a106-gr-b-a333-gr-6.html,مقایسه لوله A106 Gr.B و A333 Gr.6,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,2
12,a333-gr-6.html,لوله A333 Gr.6؛ مشخصات لوله کربن استیل دمای پایین (LTCS),لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,2
13,api-5l-x42.html,لوله API 5L X42؛ مشخصات فنی، کاربرد و نکات خرید,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,2
14,api-5l-x52-x60-x65.html,مقایسه لوله API 5L X52 و X60 و X65,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,2
15,api-5l-x52.html,لوله API 5L X52؛ مشخصات فنی، کاربرد و نکات خرید,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,2
16,api-5l-x65.html,لوله API 5L X65؛ مشخصات فنی، کاربرد و نکات خرید,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,2
17,api-5l-x70.html,لوله API 5L X70؛ مشخصات فنی، کاربرد و نکات خرید,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,2
18,article-002.html,مقایسه لوله کربن استیل و استینلس استیل,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,2
19,article-014.html,تامین تجهیزات خطوط لوله انتقال,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,2
20,asme-b36-10-pipe-dimensions.html,استاندارد ASME B36.10,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,2
21,asme-b36-19.html,راهنمای ابعاد لوله طبق ASME B36.19,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,3
22,astm-a105-astm-a350-lf2.html,مقایسه ASTM A105 و ASTM A350 LF2,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,3
23,astm-a179.html,تیوب مبدل حرارتی ASTM A179؛ مشخصات و نکات سفارش,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,3
24,astm-a182-f304-f316.html,ASTM A182 F304/F316,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,3
25,astm-a209.html,راهنمای لوله ASTM A209,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,3
26,astm-a213.html,لوله و تیوب ASTM A213؛ گریدهای T11، T22 و T91,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,3
27,astm-a234-wpb.html,ASTM A234 WPB,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,3
28,erw.html,مقایسه لوله جوشی ERW و لوله اسپیرال,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,3
29,pipe-fittings-guide.html,راهنمای اتصالات فیتینگ پایپینگ,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,3
30,seamless-vs-erw-pipe-difference.html,تفاوت لوله مانیسمان و لوله درزدار (ERW),لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,3
31,ss304-ss316.html,لوله استینلس استیل SS304 و SS316,لوله و پایپینگ,محتوای قالبی,بازنویسی کامل,4
32,asme-b16-11-socket-weld-threaded.html,ASME B16.11,اتصالات و فلنج,محتوای قالبی,بازنویسی کامل,4
33,asme-b16-34.html,استاندارد ASME B16.34,اتصالات و فلنج,محتوای قالبی,بازنویسی کامل,4
34,astm-a403-wp304-wp316.html,ASTM A403 WP304/WP316,اتصالات و فلنج,محتوای قالبی,بازنویسی کامل,4
35,flange-material-selection-guide.html,راهنمای جنس و متریال فلنج صنعتی بر اساس کلاس فشار و سیال,اتصالات و فلنج,محتوای قالبی,بازنویسی کامل,4
36,gasket-types-guide.html,انواع گسکت صنعتی؛ انتخاب بر اساس کلاس، دما و سیال,اتصالات و فلنج,محتوای قالبی,بازنویسی کامل,4
37,socket-weld-threaded.html,فلنج Socket Weld یا Threaded؟ مقایسهٔ فنی و راهنمای انتخاب,اتصالات و فلنج,محتوای قالبی,بازنویسی کامل,4
38,wn-vs-so-flange-comparison.html,مقایسه فلنج گلودار (WN) و اسلیپ‌آن (SO),اتصالات و فلنج,محتوای قالبی,بازنویسی کامل,4
39,3-way-valve-l-port-t-port.html,شیر سه‌راهه L-Port و T-Port؛ تفاوت و کاربرد,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,4
40,angle-valve.html,راهنمای شیر زاویه‌ای (Angle Valve),شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,4
41,api-600-gate-valve-standard.html,استاندارد API 600,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,5
42,api-6d-ball-valve-standard.html,استاندارد API 6D,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,5
43,article-003.html,راهنمای انتخاب شیر بر اساس کلاس فشار,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,5
44,article-004.html,راهنمای آب‌بندی شیرآلات صنعتی,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,5
45,article-021.html,انتخاب شیر برای سرویس بخار,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,5
46,article-023.html,انتخاب شیر برای خطوط گاز,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,5
47,article-027.html,مقایسه شیر فولادی و چدنی,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,5
48,article-031.html,مقایسه برندهای شیرآلات اروپایی و آسیایی,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,5
49,butterfly-valve-api-609-concentric-offset.html,Butterfly Valve API 609,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,5
50,butterfly-valve-complete-guide.html,راهنمای جامع Butterfly Valve (شیر پروانه‌ای),شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,5
51,check-valve-complete-guide.html,راهنمای جامع Check Valve (شیر یک‌طرفه),شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,6
52,check-valve-swing-lift-dual-plate.html,مقایسه شیر Check Valve,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,6
53,class-i-class-vi.html,مقایسه نرخ نشتی شیرآلات,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,6
54,control-valve-iec-60534.html,شیر کنترل (Control Valve),شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,6
55,cryogenic-valve-lng.html,شیر برودتی (Cryogenic Valve) برای LNG و گازهای مایع,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,6
56,diaphragm-valve.html,Diaphragm Valve,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,6
57,dual-plate-check-valve.html,راهنمای شیرهای Dual Plate Check Valve,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,6
58,fire-test-api-607.html,راهنمای تست آتش (Fire Test) شیرآلات,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,6
59,gearbox-handwheel-worm-gear.html,راهنمای Gearbox شیرآلات,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,6
60,globe-angle-valve.html,مقایسه شیر Globe و Angle Valve,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,6
61,globe-gate-valve.html,مقایسه Globe و Gate Valve,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,7
62,globe-valve-complete-guide.html,راهنمای جامع Globe Valve (شیر کروی),شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,7
63,high-temperature.html,انتخاب شیر برای دمای بالا (High Temperature),شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,7
64,knife-gate-valve.html,Knife Gate Valve,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,7
65,nozzle-check-valve.html,شیر Nozzle Check Valve,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,7
66,pilot-operated-valve.html,شیر پایلوت‌اپریتد (Pilot Operated)؛ چه زمانی لازم است؟,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,7
67,plug-valve-lubricated-non-lubricated.html,راهنمای Plug Valve,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,7
68,psv-prv-api-520-api-526.html,شیر اطمینان PSV/PRV,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,7
69,seat-ptfe-peek-nylon.html,مواد نشیمنگاه (Seat) در شیرآلات,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,7
70,shell-seat-closure.html,تست شیرآلات,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,7
71,stainless-steel.html,شیر Stainless Steel,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,8
72,tilting-disc-check-valve.html,راهنمای شیر Tilting Disc Check Valve,شیرآلات صنعتی,محتوای قالبی,بازنویسی کامل,8
73,cerabar.html,ترانسمیتر فشار اندرس هاسر Cerabar,ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,8
74,conductivity-meter.html,راهنمای هدایت سنج (Conductivity Meter),ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,8
75,differential-pressure-transmitter-guide.html,راهنمای ترانسمیتر اختلاف فشار (DPT),ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,8
76,flowmeter-types-guide.html,راهنمای فلومتر صنعتی,ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,8
77,ghz-80.html,ترانسمیتر سطح راداری GHz 80,ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,8
78,hart-protocol-complete-guide.html,راهنمای کامل پروتکل HART در ابزار دقیق صنعتی؛ مشخصات و قیمت,ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,8
79,level-measurement-guide.html,راهنمای سطح سنج (Level Measurement),ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,8
80,magmeter.html,فلومتر مغناطیسی (Magmeter),ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,8
81,mfc-mass-flow-controller.html,راهنمای MFC (Mass Flow Controller),ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,9
82,ndt-inspection-industrial-guide.html,راهنمای تست‌های NDT در بازرسی صنعتی,ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,9
83,ph.html,راهنمای pH متر صنعتی,ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,9
84,phase-control-relay.html,رله کنترل فاز (Phase Control Relay),ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,9
85,pmi-positive-material-identification.html,راهنمای PMI (Positive Material Identification),ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,9
86,sil-iec-61508-iec-61511.html,SIL در ابزار دقیق,ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,9
87,temperature-transmitter-guide.html,راهنمای ترانسمیتر دما,ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,9
88,thermal-mass-flowmeter.html,فلومتر حرارتی (Thermal Mass Flowmeter),ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,9
89,turbidity-meter.html,راهنمای Turbidity Meter (کدورت سنج),ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,9
90,vortex-flowmeter.html,فلومتر ورتکس (Vortex Flowmeter),ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,9
91,yokogawa-eja.html,ترانسمیتر فشار Yokogawa EJA,ابزار دقیق و بازرسی,محتوای قالبی,بازنویسی کامل,10
92,acb-circuit-breaker-guide.html,راهنمای کلید هوایی ACB (Air Circuit Breaker),برق و کنترل,محتوای قالبی,بازنویسی کامل,10
93,ansi-ieee-c37.html,رله حفاظتی,برق و کنترل,محتوای قالبی,بازنویسی کامل,10
94,article-006.html,ترانسمیتر سطح هیدرواستاتیک,برق و کنترل,محتوای قالبی,بازنویسی کامل,10
95,article-007.html,کالیبراسیون ترانسمیتر دما,برق و کنترل,محتوای قالبی,بازنویسی کامل,10
96,article-041.html,ترانسمیتر سطح التراسونیک,برق و کنترل,محتوای قالبی,بازنویسی کامل,10
97,article-052.html,مقایسه برندهای ترانسمیتر صنعتی,برق و کنترل,محتوای قالبی,بازنویسی کامل,10
98,article-059.html,کنتاکتور و بی متال,برق و کنترل,محتوای قالبی,بازنویسی کامل,10
99,hplc-gc.html,راهنمای تجهیزات HPLC و GC در آزمایشگاه,برق و کنترل,محتوای قالبی,بازنویسی کامل,10
100,lv-iec-61439.html,تابلو فشار ضعیف LV و استاندارد IEC 61439,برق و کنترل,محتوای قالبی,بازنویسی کامل,10
101,mcc-panel-guide.html,راهنمای تابلو برق MCC,برق و کنترل,محتوای قالبی,بازنویسی کامل,11
102,mccb-circuit-breaker-guide.html,راهنمای کلید کامپکت MCCB,برق و کنترل,محتوای قالبی,بازنویسی کامل,11
103,mv-iec-62271.html,تابلو فشار متوسط MV و استاندارد IEC 62271,برق و کنترل,محتوای قالبی,بازنویسی کامل,11
104,sf6.html,کلید قدرت SF6 و تجهیزات فشار قوی,برق و کنترل,محتوای قالبی,بازنویسی کامل,11
105,surge-arrester.html,رله برقگیر (Surge Arrester),برق و کنترل,محتوای قالبی,بازنویسی کامل,11
106,vcb.html,کلید وکیوم (VCB),برق و کنترل,محتوای قالبی,بازنویسی کامل,11
107,article-005.html,فلومتر کوریولیس,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,11
108,article-009.html,قرارداد تامین صنعتی,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,11
109,article-010.html,راهنمای گمرک و ترخیص کالاهای صنعتی,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,11
110,article-011.html,تامین تجهیزات پتروشیمی,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,11
111,article-013.html,تامین تجهیزات نیروگاه سیکل ترکیبی,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,12
112,article-015.html,تجهیزات پالایشگاه نفت,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,12
113,article-016.html,تجهیزات سیستم بخار,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,12
