file,url,title,words,unique_shingles,unique_share,inbound_links,gsc_impressions,commercial,strategic,action,reason
knowledge-center/rosemount-pressure-transmitter-family.html,https://pishtaj.ir/knowledge-center/rosemount-pressure-transmitter-family.html,ترانسمیتر فشار روزمونت؛ خانواده‌ی 3051 و 2088 و راهنمای انتخاب | پیشرو تجهیز فرتاک,706,488,0.817,3,90,بله,خیر,نگهداری و ارتقا,تقاضای واقعی از گوگل (90 نمایش) · هم‌راستا با حوزهٔ فروش/تامین
knowledge-center/3-way-valve-l-port-t-port.html,https://pishtaj.ir/knowledge-center/3-way-valve-l-port-t-port.html,شیر سه راهه (3-Way Valve) | پیشرو تجهیز فرتاک,1736,119,0.086,2,71,بله,خیر,نگهداری و ارتقا,تقاضای واقعی از گوگل (71 نمایش) · هم‌راستا با حوزهٔ فروش/تامین
knowledge-center/api-5l-x42.html,https://pishtaj.ir/knowledge-center/api-5l-x42.html,لوله API 5L X42؛ مشخصات فنی، قیمت و کاربرد | پیشرو تجهیز فرتاک,1693,80,0.059,8,23,بله,بله,نگهداری و ارتقا,تقاضای واقعی از گوگل (23 نمایش) · هم‌راستا با حوزهٔ فروش/تامین · موضوعِ استانداردی/حیاتی برای پروژه
knowledge-center/kc-api-5l-psl2-sour-service-nace-requirements.html,https://pishtaj.ir/knowledge-center/kc-api-5l-psl2-sour-service-nace-requirements.html,لوله NACE (سرویس ترش)؛ الزامات MR0175 برای API 5L PSL2 | پیشرو تجهیز فرتاک,1695,1239,0.899,6,11,بله,بله,نگهداری و ارتقا,تقاضای واقعی از گوگل (11 نمایش) · محتوای اختصاصیِ قوی (1239 قطعهٔ یکتا) · هم‌راستا با حوزهٔ فروش/تامین · موضوعِ استانداردی/حیاتی برای پروژه
knowledge-center/kc-spare-parts-warehousing-inventory.html,https://pishtaj.ir/knowledge-center/kc-spare-parts-warehousing-inventory.html,مدیریت انبار قطعات یدکی صنعتی؛ راهنمای کامل | پیشرو تجهیز فرتاک,1622,1124,0.87,1,11,خیر,خیر,نگهداری و ارتقا,تقاضای واقعی از گوگل (11 نمایش) · محتوای اختصاصیِ قوی (1124 قطعهٔ یکتا)
knowledge-center/article-011.html,https://pishtaj.ir/knowledge-center/article-011.html,تامین تجهیزات پتروشیمی | پیشرو تجهیز فرتاک,1714,94,0.069,1,11,بله,خیر,نگهداری و ارتقا,تقاضای واقعی از گوگل (11 نمایش) · هم‌راستا با حوزهٔ فروش/تامین
knowledge-center/a106-gr-b.html,https://pishtaj.ir/knowledge-center/a106-gr-b.html,راهنمای کامل لوله A106 Gr.B؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1810,175,0.121,7,8,بله,خیر,نگهداری و ارتقا,تقاضای واقعی از گوگل (8 نمایش) · هم‌راستا با حوزهٔ فروش/تامین
knowledge-center/steam-control-valve-sizing-guide.html,https://pishtaj.ir/knowledge-center/steam-control-valve-sizing-guide.html,سایزینگ کنترل ولو بخار چیست؟ نکات انتخاب Steam Control Valve,1841,1314,0.951,4,6,بله,خیر,نگهداری و ارتقا,تقاضای واقعی از گوگل (6 نمایش) · محتوای اختصاصیِ قوی (1314 قطعهٔ یکتا) · هم‌راستا با حوزهٔ فروش/تامین
knowledge-center/flange-arak-guide.html,https://pishtaj.ir/knowledge-center/flange-arak-guide.html,فلنج اراک؛ راهنمای خرید، استانداردها و راستی‌آزمایی کیفیت | پیشرو تجهیز فرتاک,720,527,0.829,4,6,بله,بله,نگهداری و ارتقا,تقاضای واقعی از گوگل (6 نمایش) · هم‌راستا با حوزهٔ فروش/تامین · موضوعِ استانداردی/حیاتی برای پروژه
knowledge-center/kc-industrial-material-handling-transport.html,https://pishtaj.ir/knowledge-center/kc-industrial-material-handling-transport.html,حمل تجهیزات صنعتی و جابجایی مواد؛ راهنمای کامل | پیشرو تجهیز فرتاک,1578,1068,0.861,5,5,خیر,خیر,نگهداری و ارتقا,تقاضای واقعی از گوگل (5 نمایش) · محتوای اختصاصیِ قوی (1068 قطعهٔ یکتا)
