url,cluster,intent,primary,variants,kw_count,words
https://pishtaj.ir/knowledge-center/3-way-valve-l-port-t-port.html,kc,info,شیر سه راهه (3-Way Valve),قیمت شیر سه راهه (3-Way Valve) ؛ خرید شیر سه راهه (3-Way Valve),3,1708
https://pishtaj.ir/knowledge-center/a106-api-5l.html,kc-compare,info,مقایسه لوله A106 و API 5L,تفاوت لوله A106 و API 5L,2,1810
https://pishtaj.ir/knowledge-center/a106-gr-b-a333-gr-6.html,kc-compare,info,مقایسه لوله A106 Gr.B و A333 Gr.6,تفاوت لوله A106 Gr.B و A333 Gr.6,2,1733
https://pishtaj.ir/knowledge-center/a106-gr-b.html,kc,info,راهنمای کامل لوله A106 Gr.B,قیمت لوله A106 Gr.B ؛ خرید لوله A106 Gr.B,3,1798
https://pishtaj.ir/knowledge-center/a106-pipe-procurement-guide.html,kc,info,راهنمای خرید لوله A106 Gr.B,قیمت لوله A106 Gr.B ؛ خرید لوله A106 Gr.B,3,1685
https://pishtaj.ir/knowledge-center/a333-gr-6.html,kc,info,راهنمای کامل لوله A333 Gr.6 برای دمای پایین,قیمت لوله A333 Gr.6 برای دمای پایین ؛ خرید لوله A333 Gr.6 برای دمای پایین,3,1728
https://pishtaj.ir/knowledge-center/a53-gr-b.html,kc,info,راهنمای خرید لوله A53 Gr.B,قیمت لوله A53 Gr.B ؛ خرید لوله A53 Gr.B,3,1721
https://pishtaj.ir/knowledge-center/a53-pipe-specifications.html,kc,info,مشخصات فنی لوله ASTM A53 Gr.B,قیمت مشخصات فنی لوله ASTM A53 Gr.B ؛ خرید مشخصات فنی لوله ASTM A53 Gr.B,3,1626
https://pishtaj.ir/knowledge-center/acb-circuit-breaker-guide.html,kc,info,راهنمای کلید هوایی ACB (Air Circuit Breaker),قیمت کلید هوایی ACB (Air Circuit Breaker) ؛ خرید کلید هوایی ACB (Air Circuit Breaker),3,1717
https://pishtaj.ir/knowledge-center/angle-valve.html,kc,info,راهنمای شیر زاویه‌ای (Angle Valve),قیمت شیر زاویه‌ای (Angle Valve) ؛ خرید شیر زاویه‌ای (Angle Valve),3,1709
https://pishtaj.ir/knowledge-center/ansi-ieee-c37.html,kc,info,رله حفاظتی,قیمت رله حفاظتی ؛ خرید رله حفاظتی,3,1696
https://pishtaj.ir/knowledge-center/api-5l-pipe-guide.html,kc,info,مشخصات فنی لوله API 5L,قیمت مشخصات فنی لوله API 5L ؛ خرید مشخصات فنی لوله API 5L,3,1746
https://pishtaj.ir/knowledge-center/api-5l-psl2-psl1.html,kc,info,لوله API 5L PSL2,قیمت لوله API 5L PSL2 ؛ خرید لوله API 5L PSL2,3,1785
https://pishtaj.ir/knowledge-center/api-5l-x42.html,kc,info,لوله API 5L X42,قیمت لوله API 5L X42 ؛ خرید لوله API 5L X42,3,1714
https://pishtaj.ir/knowledge-center/api-5l-x52-x60-x65.html,kc-compare,info,مقایسه لوله API 5L X52 و X60 و X65,تفاوت لوله API 5L X52 و X60 و X65,2,1730
https://pishtaj.ir/knowledge-center/api-5l-x52.html,kc,info,API 5L X52 مشخصات کامل خطوط انتقال,قیمت API 5L X52 مشخصات کامل خطوط انتقال ؛ خرید API 5L X52 مشخصات کامل خطوط انتقال,3,1639
https://pishtaj.ir/knowledge-center/api-5l-x65.html,kc,info,لوله API 5L X65,قیمت لوله API 5L X65 ؛ خرید لوله API 5L X65,3,1777
https://pishtaj.ir/knowledge-center/api-5l-x70.html,kc,info,لوله API 5L X70,قیمت لوله API 5L X70 ؛ خرید لوله API 5L X70,3,1723
https://pishtaj.ir/knowledge-center/api-600-gate-valve-standard.html,kc,info,استاندارد API 600,قیمت استاندارد API 600 ؛ خرید استاندارد API 600,3,1711
https://pishtaj.ir/knowledge-center/api-600.html,kc,info,راهنمای شیر دروازه‌ای API 600,قیمت شیر دروازه‌ای API 600 ؛ خرید شیر دروازه‌ای API 600,3,1718
https://pishtaj.ir/knowledge-center/api-602-small-gate-valve.html,kc,info,استاندارد API 602,قیمت استاندارد API 602 ؛ خرید استاندارد API 602,3,1822
https://pishtaj.ir/knowledge-center/api-610.html,kc,info,API 610,قیمت API 610 ؛ خرید API 610,3,1755
https://pishtaj.ir/knowledge-center/api-617.html,kc,info,API 617,قیمت API 617 ؛ خرید API 617,3,1685
https://pishtaj.ir/knowledge-center/api-6d-ball-valve-standard.html,kc,info,استاندارد API 6D,قیمت استاندارد API 6D ؛ خرید استاندارد API 6D,3,1702
https://pishtaj.ir/knowledge-center/article-001.html,kc,info,تست هیدرواستاتیک لوله,قیمت تست هیدرواستاتیک لوله ؛ خرید تست هیدرواستاتیک لوله,3,1713
https://pishtaj.ir/knowledge-center/article-002.html,kc-compare,info,مقایسه لوله کربن استیل و استینلس استیل,تفاوت لوله کربن استیل و استینلس استیل,2,1719
https://pishtaj.ir/knowledge-center/article-003.html,kc,info,راهنمای انتخاب شیر بر اساس کلاس فشار,قیمت شیر بر اساس کلاس فشار ؛ خرید شیر بر اساس کلاس فشار,3,1722
https://pishtaj.ir/knowledge-center/article-004.html,kc,info,راهنمای آب‌بندی شیرآلات صنعتی,قیمت آب‌بندی شیرآلات صنعتی ؛ خرید آب‌بندی شیرآلات صنعتی,3,1700
https://pishtaj.ir/knowledge-center/article-005.html,kc,info,فلومتر کوریولیس,قیمت فلومتر کوریولیس ؛ خرید فلومتر کوریولیس,3,1698
https://pishtaj.ir/knowledge-center/article-006.html,kc,info,ترانسمیتر سطح هیدرواستاتیک,قیمت ترانسمیتر سطح هیدرواستاتیک ؛ خرید ترانسمیتر سطح هیدرواستاتیک,3,1694
https://pishtaj.ir/knowledge-center/article-007.html,kc,info,کالیبراسیون ترانسمیتر دما,قیمت کالیبراسیون ترانسمیتر دما ؛ خرید کالیبراسیون ترانسمیتر دما,3,1703
https://pishtaj.ir/knowledge-center/article-008.html,kc,info,ترانسفورماتور قدرت,قیمت ترانسفورماتور قدرت ؛ خرید ترانسفورماتور قدرت,3,1701
https://pishtaj.ir/knowledge-center/article-009.html,kc,info,قرارداد تامین صنعتی,قیمت قرارداد تامین صنعتی ؛ خرید قرارداد تامین صنعتی,3,1690
https://pishtaj.ir/knowledge-center/article-010.html,kc,info,راهنمای گمرک و ترخیص کالاهای صنعتی,قیمت گمرک و ترخیص کالاهای صنعتی ؛ خرید گمرک و ترخیص کالاهای صنعتی,3,1698
https://pishtaj.ir/knowledge-center/article-011.html,kc,info,تامین تجهیزات پتروشیمی,قیمت پتروشیمی ؛ خرید پتروشیمی,3,1688
https://pishtaj.ir/knowledge-center/article-012.html,kc,info,تامین تجهیزات صنعت فولاد,قیمت صنعت فولاد ؛ خرید صنعت فولاد,3,1693
https://pishtaj.ir/knowledge-center/article-013.html,kc,info,تامین تجهیزات نیروگاه سیکل ترکیبی,قیمت نیروگاه سیکل ترکیبی ؛ خرید نیروگاه سیکل ترکیبی,3,1694
https://pishtaj.ir/knowledge-center/article-014.html,kc,info,تامین تجهیزات خطوط لوله انتقال,قیمت خطوط لوله انتقال ؛ خرید خطوط لوله انتقال,3,1703
https://pishtaj.ir/knowledge-center/article-015.html,kc,info,تجهیزات پالایشگاه نفت,قیمت تجهیزات پالایشگاه نفت ؛ خرید تجهیزات پالایشگاه نفت,3,1690
https://pishtaj.ir/knowledge-center/article-016.html,kc,info,تجهیزات سیستم بخار,قیمت تجهیزات سیستم بخار ؛ خرید تجهیزات سیستم بخار,3,1695
https://pishtaj.ir/knowledge-center/article-017.html,kc,info,تامین تجهیزات صنعت سیمان,قیمت صنعت سیمان ؛ خرید صنعت سیمان,3,1693
https://pishtaj.ir/knowledge-center/article-021.html,kc,info,انتخاب شیر برای سرویس بخار,قیمت انتخاب شیر برای سرویس بخار ؛ خرید انتخاب شیر برای سرویس بخار,3,1708
https://pishtaj.ir/knowledge-center/article-023.html,kc,info,انتخاب شیر برای خطوط گاز,قیمت انتخاب شیر برای خطوط گاز ؛ خرید انتخاب شیر برای خطوط گاز,3,1709
https://pishtaj.ir/knowledge-center/article-027.html,kc-compare,info,مقایسه شیر فولادی و چدنی,تفاوت شیر فولادی و چدنی,2,1713
https://pishtaj.ir/knowledge-center/article-031.html,kc-compare,info,مقایسه برندهای شیرآلات اروپایی و آسیایی,تفاوت برندهای شیرآلات اروپایی و آسیایی,2,1716
https://pishtaj.ir/knowledge-center/article-041.html,kc,info,ترانسمیتر سطح التراسونیک,قیمت ترانسمیتر سطح التراسونیک ؛ خرید ترانسمیتر سطح التراسونیک,3,1701
https://pishtaj.ir/knowledge-center/article-052.html,kc-compare,info,مقایسه برندهای ترانسمیتر صنعتی,تفاوت برندهای ترانسمیتر صنعتی,2,1702
https://pishtaj.ir/knowledge-center/article-059.html,kc,info,کنتاکتور و بی متال,قیمت کنتاکتور و بی متال ؛ خرید کنتاکتور و بی متال,3,1710
https://pishtaj.ir/knowledge-center/asme-b16-11-socket-weld-threaded.html,kc,info,ASME B16.11,قیمت ASME B16.11 ؛ خرید ASME B16.11,3,1709
https://pishtaj.ir/knowledge-center/asme-b16-34.html,kc,info,استاندارد ASME B16.34,قیمت استاندارد ASME B16.34 ؛ خرید استاندارد ASME B16.34,3,1696
https://pishtaj.ir/knowledge-center/asme-b16-5.html,kc,info,ASME B16.5,قیمت ASME B16.5 ؛ خرید ASME B16.5,3,1764
https://pishtaj.ir/knowledge-center/asme-b16-9.html,kc,info,ASME B16.9,قیمت ASME B16.9 ؛ خرید ASME B16.9,3,1763
https://pishtaj.ir/knowledge-center/asme-b31-1.html,kc,info,ASME B31.1,قیمت ASME B31.1 ؛ خرید ASME B31.1,3,1690
https://pishtaj.ir/knowledge-center/asme-b31-3-process-piping-guide.html,kc,info,راهنمای استاندارد ASME B31.3,قیمت استاندارد ASME B31.3 ؛ خرید استاندارد ASME B31.3,3,1765
https://pishtaj.ir/knowledge-center/asme-b31-3.html,kc,info,ASME B31.3,قیمت ASME B31.3 ؛ خرید ASME B31.3,3,1703
https://pishtaj.ir/knowledge-center/asme-b36-10-pipe-dimensions.html,kc,info,استاندارد ASME B36.10,قیمت استاندارد ASME B36.10 ؛ خرید استاندارد ASME B36.10,3,1723
https://pishtaj.ir/knowledge-center/asme-b36-19.html,kc,info,راهنمای ابعاد لوله طبق ASME B36.19,قیمت ابعاد لوله طبق ASME B36.19 ؛ خرید ابعاد لوله طبق ASME B36.19,3,1717
https://pishtaj.ir/knowledge-center/astm-a105-astm-a350-lf2.html,kc-compare,info,مقایسه ASTM A105 و ASTM A350 LF2,تفاوت ASTM A105 و ASTM A350 LF2,2,1718
https://pishtaj.ir/knowledge-center/astm-a105-vs-a234.html,kc-compare,info,مقایسه ASTM A105 و ASTM A234 در پایپینگ,تفاوت ASTM A105 و ASTM A234 در پایپینگ,2,1772
https://pishtaj.ir/knowledge-center/astm-a105.html,kc,info,ASTM A105,قیمت ASTM A105 ؛ خرید ASTM A105,3,1707
https://pishtaj.ir/knowledge-center/astm-a106-a53.html,kc-compare,info,مقایسه ASTM A106 و A53,تفاوت ASTM A106 و A53,2,1721
https://pishtaj.ir/knowledge-center/astm-a179.html,kc,info,راهنمای لوله ASTM A179,قیمت لوله ASTM A179 ؛ خرید لوله ASTM A179,3,1714
https://pishtaj.ir/knowledge-center/astm-a182-f304-f316.html,kc,info,ASTM A182 F304/F316,قیمت ASTM A182 F304/F316 ؛ خرید ASTM A182 F304/F316,3,1704
https://pishtaj.ir/knowledge-center/astm-a209.html,kc,info,راهنمای لوله ASTM A209,قیمت لوله ASTM A209 ؛ خرید لوله ASTM A209,3,1711
https://pishtaj.ir/knowledge-center/astm-a213.html,kc,info,لوله ASTM A213,قیمت لوله ASTM A213 ؛ خرید لوله ASTM A213,3,1711
https://pishtaj.ir/knowledge-center/astm-a234-wpb.html,kc,info,ASTM A234 WPB,قیمت ASTM A234 WPB ؛ خرید ASTM A234 WPB,3,1707
https://pishtaj.ir/knowledge-center/astm-a312.html,kc,info,راهنمای لوله ASTM A312,قیمت لوله ASTM A312 ؛ خرید لوله ASTM A312,3,1714
https://pishtaj.ir/knowledge-center/astm-a335-p11-p22-p91.html,kc,info,"لوله آلیاژی ASTM A335 P11, P22, P91","قیمت لوله آلیاژی ASTM A335 P11, P22, P91 ؛ خرید لوله آلیاژی ASTM A335 P11, P22, P91",3,1720
